étoile,commentaire
4,"Ce sont de belles claquettes mais elles sont trop serrées. Elle taille vraiment petite, j’ai pris du 43 et a la place du 42, mon pied rentre de force. Je pense il faudrait prendre du 2 voir 3 taille au dessus. (Je précise j’ai des pieds large)"
5,"est à la bonne taille, très confortable, utilisées commesandales  d'appartement"
4,Un paire de claquettes plus chère et qui vont surement faire quelques années.
5,"Je fais un 46 pile j’ai commandé 46 mais ça  taille plus petit c’est comme si j’avais reçu du 45 1/2 il manquait légèrement pour être bien,je conseille aux gens de prendre une demie pointure en plus voir une pointure au dessus que leur pointure initiale"
4,"Suite aux différentes remarques sur la taille, j'ai commandé une première fois du 44.5 alors que je chausse du 43.Retour car trop petit, surtout en largeur, échangé contre du 46 et là  impeccable. Je mets tout de même une bonne note car elles sont très jolies et très agréable à porter."
2,De le premier jour au plus tôt de la 1 h ce déchire sur le cote dommage elle est confortable.
2,Je porte 38 de adidas j'ai commandé donc 38 mais ces claquettes font minimum 39.
3,"Bonjour au niveau produit rien à dire, juste au niveau  commande j avais commandé une paire taille 39 et j ai reçu une paire en taille 38. Retour possible après explication du problème. Mais il faut pas être pressé pour le remboursement."
5,"Mon époux hésitait beaucoup avant l'achat de ces tongs. Or après 9 mois d'utilisation, il est toujours très satisfait du CONFORT de ces tongs et cette technologie d'adidas. On en a offert aussi une paire à mon frère. S'il en existait de modèles pour les dames, j'en achetais pour moi-même. C'est un produit de qualité!"
1,"Attention taille petit, et il ne fait pas avoir les pieds trop larges."
3,bien reçu mais j ai mal au dessus du pied avec. qualité pas top.
5,Excellente qualité je recommande cet article envoi très rapide merci
5,"J'ai suivi les avis, pris du 44 1/2 pour le 42 pieds larges de mon fils et ça va. Il a un peu de marge mais sans plus.Il les trouve agréables à porter en guise de chaussons."
1,Taille mal
5,Mon fils adore ces claquettesLa deuxième fois qu’il m’en réclame
3,Matière pas top sa fait plastique
1,Taille beaucoup trop petit
4,taille tres petit pour les pieds larges ma femme met du 41 a du prendre du 43 et moi du 46 le 48.5 je rentre a moitié de mon pied je vais commandé du 50...... en espérant que je rentre dedans ..... par contre est très contente une foi la taille trouvé .... moi j attend déjà 2 retours
5,Arriver un jour en avance produit conforme à la description
5,"super adilette rouge . cette fois ci j'ai pris du 44.1/2 et là elles me vont impeccable. super légère, tout est parfait !!"
1,"Taille très très petitChaussant du 36 37Pris du 37 et vraiment trop petitDe plus le retour, je dois l affranchir ! Dommage en étant passé par prime"
1,"Attention, flips flops très confortables, mais taille EXTRÊMEMENT petit, j’ai du m’y reprendre à 3 fois.Je chausse du 45-45.5 avec des pieds assez large, j’ai du prendre du 48.5 et cela ne me va toujours pas, je les ai tous rendus..."
5,"Mon fils les adore, il les met tous les jours. Elles sont très solides."
5,"Bien reçus, semble très corrects"
5,"Livré rapidement dans un jolie emballage ma petite fille était très contente merci!  Claquette sont bien meme pour un pied large enfant, elle les adore ! Je recommande"
4,Ras très bien mon fils était ravi
5,Très bonne marque et claquettes adaptées. Prendre la taille au dessus de sa pointure habituelle car ça taille plus petit. Bon produit pour la maison ou la piscine
5,Tongs top rien à dire! Mon mari est super content et sont agréables aux pieds! Très bon rapport qualité/prix
4,Journalier
5,"Commandé en 44 1/2 d'après les commentaires pour du 44. Cela correspond parfaitement. Mais pour être plus l'aise, prenez une taille au dessus"
4,Arrivée rapidement. Conforme à la photo mais attention taille petit. Prendre une voir deux tailles au dessus de votre taille habituelle.
1,Taille vraiment petit
5,Prendre une moitié de pointure en plus.Confortable et stylé.
1,Article trop rigide et taille trop trop petit;
5,Taille correctement et est solide
5,"Très bon achat, qualité prix !!"
5,Top les claquettes
5,Article conforme à la commande et délai de livraison très courttrés confortable !!!
5,Un peu serré au niveau du serrant
4,"Solide, et semble résistant."
5,Super taille petit prendre 2 taille au dessus
5,"Très joli modèle et très confortable.Pour la pointure, en baskets Adidas je prends un 36,5 et là le 37 va très bien.En 37 la plus grande longueur de la semelle est de 23,5cm."
4,"claquette de plage conforme a la commande ,ma fille est ravie de cette achat,le modèle existe en plusieurs couleurs,rapidité de livraison en prime rien a redire."
5,Nickel.Bonne taille.On est à l'aise dedans.
5,"Plage, piscine"
5,Je conseille
5,Produit livré dans les délais et conforme. Merci
1,taille petit il faut prendre plus grand
5,"Bonjour,Je confirme que ces sandales sont top, légères et amortissent bien les choques, ma fille en est contente."
5,ils sont confortables et s'adaptent à la taille
5,Parfait
3,"trop petit, même en commanfant u.e taille au dessus."
4,Pas du tout déçu
5,Acheté pour l été . Super claquettes ! Confort extra ! Souple ! Prix justifié !
2,Ce n'est pas vraiment la taille en longueur qui pose problème mais la largeur !!! Difficile d'y glisser son pied surtout si celui-ci est plutôt fort ... Il est serré et ce n'est que du plastique. A voir question transpiration et usage sur la durée...
5,J’aime beaucoup
5,"Produit conforme à la description, que ce soit la taille ou l'esthétique, très confortable. Je recommande"
4,Taille très petit ! Prendre une a deux taille au dessus de la vôtre!
1,"Prévoir une taille de plus, ne convient pas pour des pieds larges autrement vous pouvez pas les enfiler."
1,Très très fine
1,Trop rigides et pas à ma taille. Malheureusement je partais en vacances et n'ai pas eu le temps de les retourner...
4,Prendre une taille au dessus
1,"trop petit, je fzis du 44, j'ai pris du 46 et malgré tout c'est très limite."
5,Top du top. Adidas ne m’a jamais déçu !
4,Article conforme à la descriptionTrès confortable et maintienne très bien au piedsTrès sobre et discrèteJe recommande cet article pour son confort
5,Cool
1,Commandé en 37 (pour moi) mais finalement va a ma fille qui chausse du 35 !!!
5,Pointure 38 impect tres jolie je lai adore livraison rapide
5,Très bonne qualité et confortables !
5,Trop confortables! J'adore.
5,"Arrivé très rapidement,Je ne m’attendais pas à trouver des claquettes Adidas a moins de 20€Mon amie à était contente de son cadeau d’anniversaire, taille parfaitement"
5,J ai pis ses claquette pour mon fils qui mets du 43 et la taille parfaite
5,Parfait
1,Trop petite
3,L'article est conforme à la photo mais taille vraiment petit je fais du 38 par précaution j'ai commandé du 39 et c'était petit. Prenez au moins 2 tailles au dessus!
3,Taille tres petit prendre 3taille au dessus de votre pointure
5,Pointure plus petite en France qu en Belgique
5,Mon enfant les adore
5,Prendre 1 taille de plus que votre pointure et c est top
5,Impeccable taille et matiere
5,Top léger parfait
3,Beau produitPrendre taille au dessus
4,"Je chausse habituellement du 42 - 42,5.Comme indiqué dans les avis client j'ai pris du 44,5 et c'est très bien pour moi. Elles sont confortables"
3,Pas prévu pour les pieds larges
1,Pas Confort du fait que elles ne soit pas à la même taille
3,"Il faut commander 2 tailles au dessus de votre pointure habituelle.Je chausse du 44 et j’ai commandé du 46 , elle sont parfaites."
5,très jolie mules et alors service ultrarapide commander samedi et reçu se jour bravo
5,"Très confortable, je recommande."
5,"Excellent, super qualité"
4,"Un petit peu serré mais cela n’est pas gênant, prenez quelques tailles au dessus"
5,Bien reçu
3,Chaussures trop serrées.  Je les renvoie et je 4commande plus grand
5,Super attention taille petit pour 40 il faut acheter 42 (pied large)
2,Taille petit.. Mon fils ne peux pas les mettre
5,Ras
4,Aucun problème pour l'article par contre je n'ai pas reçu la taille demandée...
5,Très confortables et légères
5,"Sport, confort"
2,Sandales très étroites..même pour mon fils qui a des pieds fins ..
5,Très bonne qualité
5,Bien adapté pour la piscine
5,RIEN A DIRE ELLE PLAISE
4,"Je suis fidèle au modèle Adilette depuis 10 ans. Ce n'est pas un modèle très ""habillé"" mais d'un très grand confort et c'est pour moi la sandale idéale pour se déplacer au sein et autour d'une piscine notamment."
5,Il y a un moulage dû creux du pied et des orteils se qui rend la claquette très confortableA prendre une taille au déçu de la taille habituel
5,Super confortable et bon rapport qualité-prix sobre solide et s'adapte rapidement au pied je recommande donc
2,Reçu aujourd'hui juste le pied droit mais pas la gauche c'est pas sérieux
4,Taille petit.
5,Claquette confortable et de bonne qualité!
1,"Bon produit,confortable"
5,Mon conjoint les adore! Et ses amis se les sont commandés après les avoir essayé !
4,Produit conforme à la description. Je recommande
2,Produit de bonne qualité mais taille bien trop petit.Commandé du 43 qui correspond plus à un 40/41
5,👍
1,Trop petit pour lui j'aurais dû prendre du 39. Mais procédure d'échange pas évident du coup je sais pas quoi faire
5,"Claquette hyper confortables, je les mets tout les jours a la maison, j’en ai commandé aussi pour ma femme qui en est très satisfaite.C’est ma 2e paire."
1,Je chausse du 44 et j ai commandé du 44.5 et sa me rentre pas au pieds
5,"Produit confortable, taille parfaite, je recommande!"
4,"Taille petit, mis a part cela très bien."
1,Detente
5,Produit parfait
4,Mon petit fils était ravie
5,Très bien et nettement moins chères qu'en magasin. Merci
2,"Pour un 38,5 prendre un 41"
3,Taille petit!
5,Produit conforme aux attentes !
1,malgre la bonne taille commandee ces claquette taillent trop petit
4,Très confortables
1,Elles taillent trop petit
5,Parfait
1,Un poil trop petit trop serré
5,Excellent
5,"Bonne qualité, conforme aux attentes"
5,Top
5,Vraiment au top rien a dire
5,Ras
5,Piscine
5,Super
4,Épouse bien le pied et confortable pour marcher.Sobres et épurées.Je recommande ce produit.Je mets 4 étoiles car je ne les porte que depuis qq jours. Mon expérience est donc sur le court terme
5,"Tout est top ! Je fais du 38, j’ai pris un 39, car ça taille un peu juste.Merci"
1,j'ai pris une taille 35 l'enfant fait du 34 c'est trop petitne taille pas correctementje vous suggère de faire attention et de prendre une taille au dessus
5,mon fils fait du 44.5 habituellement j'ai pris 46 en suivant les commentaires et elles lui vont parfaitement  pour un prix super il est très content
1,"À éviter, pour mon cas la pointure commandée était le 39, je pense qu'elle fait en réalité moins de 32.C'est vraiment faite pour les enfants et pas les adulte."
5,Produit taille énormément petit. J’ai pris un 47 pour un 44-45 initialement.Mais très confortable et tient la route ! Utilisé en chausson de maisonMerci de noter ce commentaire
5,Très bonne qualitéMon fils adore faire comme papa
5,Taille bien et fais le job !
5,Pour rester à la maison
5,Top cadeau
5,Super
3,J’ai pris sa taille mais prendre 1 taille au dessus
5,"Très satisfait,  excellent produit solide et pratique que je recommande vivement"
4,Taille vraiment trop petit
3,Produit trop petit en largeur
4,Bien mais un peu cher
1,"Le produit multimédia n'a pas pu être chargé.
                



J'ai récemment acheté un produit (toboggan en mousse nuage adidas) dans la boutique Amazon et j'ai utilisé un strict minimum et j'insiste sur le mot minimum car nous sommes tous conscients des limites de l'aventure en plein air dans la situation actuelle. écrivez ce message car j'ai été un client fidèle ou ADIDAS et un fervent adepte de ses tendancesCe produit a soulevé des doutes sur la marque elle-même car il a commencé à montrer de tels dommages (voir photos) dans ce court laps de temps de 15 jours avec une utilisation absolument frugale. Je cherche donc un remplacement en nature ou en points qui n'apaisent pas exactement ma déception mais au moins ébranlent ma foi en la marque. J'espère que ma demande sera considérée et traitée le plus rapidement possible et ne me laissera pas tomber davantage pour ne pas changer marques pour toujours."
5,La pantoufle étant une pantoufle s'adapte comme une pantoufle. Je les mets habituellement sur mes pieds mais souvent je les mets dans mes mains pour marcher à l'envers sans causer de problèmes particuliers. Je dirais que je les suggère pour les deux usages. Vote
1,"Veuillez ne jamais acheter ce produit. Il s'agit en fait d'un déchet total de produit et d'un gaspillage d'argent. Au moment où il ira dans l'eau, le chausson absorbera toute l'eau et deviendra maladroit à porter. Et pue. Veuillez ne pas acheter. Ils ont également refusé le processus de remboursement car ils demandaient une boîte qu'ils n'ont jamais donnée lors de la livraison. Ils n'échangeront même pas votre produit. Vous voulez votre argent sérieusement."
1,Produit defectueux.
1,"Ils sont de très petite taille, je suis un 5 et ils n'étaient pas un 5 .. plutôt une taille 3 Le groupe était si serré que je ne pouvais pas mettre le pied dedans, ils étaient également censés être bleus mais sont venus en vert foncé . Je ne recommanderais pas d'acheter en ligne. Vous avez vraiment besoin de les essayer. J'ai acheté une autre paire et elles étaient encore plus petites. Donc, je ne le recommanderais certainement pas."
3,"Avantage : ces sliders sont légers et très amortissants. La taille est assez précise et j'ai commandé comme prévu. de couleur bleue, va bien si vous utilisez ces curseurs pour marcher à l'extérieur avec un short ou un jean, par opposition à une utilisation uniquement à l'intérieur. Non glissant. Je l'ai utilisé autour de la piscine et il n'a pas glissé ou glissé. Contre : je les ai trouvés un peu trop étroits et, par conséquent, j'ai blessé mon petit orteil en marchant car ils se frottaient contre les côtés. La lèvre, qui va au-dessus de le pied, a commencé à couper dans le haut de mes orteils, encore une fois, alors que je marchais. Dommage qu'ils n'aient pas fonctionné pour moi. Ils se sentaient très à l'aise, mais les inconvénients, bien que peu nombreux, l'emportaient largement sur les avantages."
5,"Je voulais des sliders de bonne qualité, mais je n'ai jamais vraiment aimé le look des Adidas classiques rayés noir / bleu marine et blanc. Cependant, ces noirs sont vraiment beaux et discrets. Bien fait et très confortable. Vous devriez certainement commander une taille au-dessus; Je fais habituellement une taille 3,5/4 et j'ai commandé une taille 5 et elles me vont parfaitement."
4,"L'espace pour mon pied était si petit que je ne pouvais même pas le mettre à moitié. Je suis 10UK/44EU et si je prenais 2 ou 3 tailles plus grandes, elles seraient si longues que j'aurais besoin de voyants orange clignotants dessus ! J'ai eu des diapositives Nike sur un 10 et ce n'est pas un problème. Je pense que la coupe Adidas convient aux pieds très étroits. Pour être juste, le vendeur a émis un remboursement OK, mais je suis maintenant à 5 £ de ma poche pour les frais de retour. J'aurais aimé prendre plus en compte les autres critiques. La qualité semblait comparable aux diapositives Nike."
3,"J'ai commandé des thèses et j'ai regardé les avis avant de les acheter, la plupart des gens ont dit qu'ils étaient plutôt petits, ils le sont très certainement ! Je fais une taille 4 mais généralement avec Adidas je reçois toujours la taille 5, la taille 5 qu'ils ont envoyée ne me convenait pas, je les retourne et j'ai demandé une taille 6, malheureusement ils n'ont pas la taille 6 entièrement noire en stock chez le moment, donc je ne sais pas quand je les recevrais, j'étais satisfait de la qualité et ils semblaient confortables, j'espère que la taille 6 arrivera plus tôt que tard ?"
1,"Comment Adidas peut-il vendre ces articles comme chaussures de douche et de bain ? Les chaussures absorbent l'eau comme une éponge et commencent alors à sentir si insupportablement que vous ne pouvez que les jeter à la poubelle. Je les ai portés 1x à la mer, 1x aux cascades et 1x sous la douche et maintenant ils sont dus à la poubelle à cause de l'odeur. Cela n'aide pas si les chaussures sont plus confortables que d'autres si elles puent au ciel. Ce n'est certainement pas non plus une odeur de sueur, mais une puanteur vraiment âcre. Malheureusement, il est déjà trop tard pour le rendre."
5,"Je cherchais une paire de claquettes avec une semelle souple qui n'affecte pas mes talons sensibles. Après avoir regardé une vidéo Youtube, j'ai décidé d'acheter ces diapositives. Je dois dire qu'il y a les toboggans les plus confortables que j'aie jamais portés. C'est comme marcher sur des nuages. De nombreux acheteurs se sont plaints des tailles. Je vous conseille d'aller sur le site d'origine Adidas et de consulter le tableau des tailles. Mesurez la longueur de votre pied et choisissez la taille en conséquence. Vous ne le regretterez pas. Merci Adidas et merci vendeur."
3,"Ceux-ci prétendent être un Eu 42 ou Uk 8 en unisexe. Ils ressemblent probablement plus à une femme Uk 7 ou 40. Je porte habituellement la taille 41 / Uk 8 dans tout et ceux-ci sont trop serrés du point de vue de la largeur et aussi trop petits du point de vue de la longueur. Je conseillerais de prendre une taille supérieure si vous les achetez. Ils ont l'air bien et je suis sûr que s'ils s'adaptent, ils seraient super"
5,"J'aime le fait que ces pantoufles ne coûtent que 14 livres et durent éternellement. Je peux l'utiliser n'importe où sur les plages et marcher dans les rues. Plus important encore, ils fonctionnent avec tout, que ce soit des shorts ou des joggeurs. Personnellement, j'adore les paires blanches que j'ai achetées, mais il existe de nombreuses options de couleurs différentes, ce qui me rend perplexe lorsque j'étais sur le point de l'acheter. Je peux porter ces pantoufles pendant des heures, voire une éternité, surtout à l'aéroport car elles sont si confortables et je peux facilement les enlever de mes pieds. Ces pantoufles me donnent aussi une ambiance sportive, balnéaire et estivale. En conclusion, ces chaussons en valent vraiment la peine et tout le monde en a besoin surtout pour l'été."
3,"Pour ce qu'ils sont, le prix est une arnaque et la taille est mauvaise - la largeur est trop étroite, il faudrait donc probablement commander une taille plus grande. S'ils n'avaient pas trois bandes, ils coûteraient le tiers du prix."
4,Des slips agréables et durables pour une tenue décontractée. Le seul problème est de trouver la bonne taille. J'ai commandé 1 taille au-dessus et je me sentais toujours serré mais bon en longueur. Devra être porté dans un peu. J'ai les blancs pour que je puisse voir s'il y a des insectes dessus dans le noir lol
2,"Je ne peux pas les porter. J'ai la taille 13 UK en pensant qu'ils iraient bien mais ils sont loin d'être assez larges. Je n'ai pas les pieds particulièrement larges, alors je pensais qu'ils pourraient s'agrandir un peu compte tenu de la masse, mais je peux à peine les mettre même si je les force vraiment. Les quelques fois où j'ai réussi à les porter, ils avaient l'air idiots et tellement pincés que je ne pouvais pas les porter plus de 5/10 minutes. Dommage car ils ont fière allure !"
1,"Ceux-ci ont été commandés à temps pour Noël, comme cadeau, et se sont avérés être de la mauvaise taille ; par rapport au même article disponible dans la rue principale du Royaume-Uni, par l'intermédiaire d'un distributeur agréé. 6 semaines après avoir payé les marchandises et 4 semaines après avoir renvoyé les marchandises, je ne suis toujours pas plus près de recevoir un remboursement. Le système de remboursement A-Z d'Amazon ne fonctionne pas non plus ! J'ai dû recourir à une réclamation contre la société de carte de crédit.Soyez très, très prudent en achetant des marchandises auprès d'un vendeur de l'UE à court ou moyen terme, car il semble que le Brexit et Covid soient intensifiés comme excuse pour ne pas fournir un remboursement, dans un délai raisonnable."
1,"Je les ai achetés pour mon fils, qui les portait à l'extérieur puis s'est rendu compte qu'ils étaient trop petits, ils ont frotté de terribles ampoules, alors ils sont maintenant assis au fond de l'armoire à ramasser la poussière, un gaspillage total d'argent, vous devez absolument monter quelques tailles si vous voulez envisager de les acheter, la qualité est cependant incomparable."
5,"Ce sont de beaux sliders Adidas confortables, juste dommage que celui qui les a emballés ne connaisse pas la différence entre le numéro 9 et le numéro 8, un UK 9 a été commandé et ils ont réussi à envoyer un 8, donc ils ont dû les renvoyer, les joies des achats en ligne."
5,"Super chaussures ! J'ai commandé ces chaussures de bain pour mes vacances d'été à la dernière minute, car je voulais une alternative à mes tongs bien-aimées au cas où elles seraient mouillées après la baignade, etc. ; La commande via Amazon s'est bien déroulée sans problème . Pendant un moment, j'ai eu peur que les chaussures n'arrivent pas à temps avant les vacances car le détaillant les enverrait lui-même. (Je pense que le délai de livraison était de 2 à 4 jours) Mais tout s'est bien passé, les chaussures étaient là le 2ème jour à ma connaissance et pouvaient voler avec vous en vacances ! Elles sont super confortables, vous marchez comme vous marchez sur des semelles en gel ! Cependant, je suis d'accord avec l'orateur précédent et je ne porte les chaussures que sur de courtes distances au début, car elles frottent un peu sur les sangles au niveau des orteils. Mais je pense que le problème se résoudra avec le temps. Je pense que les chaussures sont superbes, simples et pourtant pas bon marché, et je suis très contente d'avoir choisi le modèle ! Cependant, je le commanderai peut-être un peu plus petit la prochaine fois. Je porte habituellement du 39/40 et j'ai commandé du 40 1/2. Si vous avez aimé la récession, je serais très heureux de votre vote ! Merci pour la lecture."
1,"Je donnerais 5 départs car ils s'adaptent parfaitement et sont très confortables. Mais après une journée à les porter, le caoutchouc qui se trouve du côté des orteils a commencé à s'enfoncer littéralement dans la peau et à laisser des plaies douloureuses et saignantes... Je pensais qu'avec le temps, elles se détacheraient et ne poseraient pas de problème comme le font de nombreuses chaussures neuves. cela aux pieds. Mais un mois plus tard, j'ai essayé de les porter. Je me blesse toujours. Tout est parfait, sauf le design je suppose."
1,Sont-ils réels ? Pourquoi sont-ils si petits par rapport à mes autres tailles 5 ? Taille de la commande au dessus !!!
3,"Curseurs de grande qualité mais beaucoup trop étroits! J'avais lu des critiques recommandant cela, alors j'ai commandé une taille au-dessus et les pieds de ma fille ne sont que de petite largeur de toute façon, mais ils étaient encore trop serrés, ce qui était décevant."
3,"Pire emballage il n'y a pas de boîte. Les curseurs se sont déformés dans une couverture en plastique, je ne m'y attendais pas d'AMAZON. La taille est un peu petite auparavant mes sandales adidas qui sont uk7 qui me vont exactement mais ces curseurs sont un peu petits pour mon pied."
3,Mes pieds taille 3-4 parfois je peux acheter des chaussures pour enfants mais ça ne me va pas trop petit mais je sais que c'est un enfant et je suis sur le point de revenir alors le poste me dit que je dois payer de l'argent pour le retour car je dois envoyer à l'UE donc pas la peine de payer alors j'ai décidé de ne pas revenir je vais le remettre à mon neveu à la place
1,L'étiquette de taille à l'intérieur des chaussures indique : US 14 UK 14 FR 50. Il n'y a rien de tel. Une taille US 14 équivaut à UK 14.5 et FR 48. Quand les fabricants de chaussures idiots apprendront-ils un jour ?
2,"Pas aussi bonne qualité que les sliders Adidas que j'ai achetés précédemment, et la taille est trop petite. Soit une réduction des coûts, soit des contrefaçons ! Tu décides!"
1,"J'ai commandé ces curseurs en supposant que je recevrais les curseurs de la marque ""Adidas"" comme indiqué sur les photos, mais j'ai plutôt reçu des ""Havaianas"" bleus. Je ne sais pas comment on pourrait bousiller une commande qui serait manifestement évidente pour quiconque ayant une paire d'yeux. Epargnez-vous le risque et commandez auprès d'un autre fournisseur. À moins bien sûr que vous ne préfériez jouer à la roulette lors de vos achats en ligne."
2,"Cet article provient de Sports Direct et est étiqueté à la fois comme une taille US 7 et une taille UK 7, ce qui est faux car les États-Unis ont des tailles de chaussures différentes du Royaume-Uni. L'ajustement est à une taille US 7 qui est approximativement une taille UK 5."
1,"Je les ai achetés comme cadeau. Moins cher que d'acheter dans le magasin de sport local, mais pas ""bon marché pas cher"". Pas étonnant! Une taille 4 et vous ne pouvez pas y mettre les pieds à cause de leur étroitesse. Trois personnes, toutes de taille 4 les ont essayées et aucune chance. Ce sont définitivement des rejets, ne gaspillez pas votre argent."
1,"J'ai dû revenir en lisant des critiques, j'ai commandé une taille au-dessus, mais même alors, elles étaient trop petites. Portez habituellement un 7 et commandé 8 mais toujours loin. Taille horrible. Le curseur lui-même semblait très spongieux à porter et était peut-être confortable mais ne le saura jamais. A décidé de ne pas échanger contre une autre paire"
3,"Ce sont ma 2ème paire de chaussures de piscine adidas et elles vont bien. Heureux d'avoir acheté 1 taille plus grande, mais celles-ci sont encore un peu serrées. Je pensais avoir fait une bonne affaire car ma dernière paire coûtait 20 £ mais dès qu'ils sont arrivés, j'ai repéré 2 magasins de sport locaux les vendant moins cher. J'ai eu un mot avec le commerçant et elle a dit qu'ils avaient été remplacés par des stocks plus récents ! Pourtant, ils me feront pour l'été jusqu'à ce que j'obtienne ma prochaine paire ... plus que probablement adidas à nouveau!"
4,"La fille était très satisfaite des curseurs, mais ils sont un peu trop larges pour qu'elle puisse les porter. Beau design et couleur, bien qu'un peu durs pour le pied par rapport à d'autres curseurs que nous avons eus dans le passé."
2,"Il n'y a pas d'étiquette de produit sous le pied, et comme pour tous les autres sliders Adidas, détail du numéro de produit, taille du code QR, etc. Le confort n'est pas le même que les slides que j'ai achetés directement chez Adidas. Enfin, le point au-dessus du I dans Adidas est un carré comparé à un cercle avec tous mes autres équipements de marque Adidas. Je serais très surpris s'il s'agissait, en fait, de l'article authentique."
3,"Je suis une taille 9 au Royaume-Uni, j'ai donc commandé une taille 9. Je n'ai pas lu les critiques... J'étais très inquiète que les curseurs soient trop petits. J'aimerais avoir une taille supérieure"
3,"Belle couleur, très bonne qualité, cependant, la taille était plus petite que prévu, nous avons commandé la même taille de cette marque il y a trois ans, la paire précédente peut aller mieux que cette paire."
3,"La chaussure elle-même a l'air et se sent bien, mais même si j'ai commandé une taille au-dessus, la coupe était bien trop petite. Le conseil d'acheter une taille plus grande provenait en fait du site Web d'Adidas et non de la liste des produits Amazon, d'où les étoiles perdues."
3,Très bon à part clairement très petit. Je fais une taille claire 8 mais j'ai besoin d'un 9 car très petit
1,"Le dimensionnement sur ceux-ci est une pagaille absolue. La longueur est à peu près correcte, mais la chose à lanières est si serrée que c'est faux. Même un peu trop serré pour ma petite amie (trois tailles en dessous de la taille présumée) les a essayées. Économisez votre argent et achetez littéralement n'importe quoi d'autre."
1,"Je pense que ce produit est soit défectueux, soit pas vraiment fabriqué par Adidas. J'ai une autre paire d'Adilettes et elles sont parfaitement confortables. Je les ai commandés pendant mes vacances (parce que j'avais oublié les miens) et je pouvais à peine les mettre sur mes pieds. Très, très mauvaise qualité."
3,"Très petit. Comme d'autres l'ont dit, le dimensionnement de ceux-ci se sent mal. J'ai commandé un UK 10 mais le produit suggère qu'il s'agit à la fois d'un US 10 et d'un UK 10. L'ajustement est incroyablement serré à travers la boucle et mon talon est à peine sur le curseur à l'arrière. J'ai contacté Amazon pour un remboursement et j'essaierai une taille 11."
3,"Arrivé dans une boîte défoncée et une fois ouvert, le papier de soie était tout froissé et avait l'air vieux / d'occasion. Très déçu comme cadeau."
4,les avait avant qu'ils soient toujours confortables car vous savez que les tailles sont toujours petites
3,"De jolies tongs, mais la taille n'est pas la bonne. J'ai commandé une taille 9, ce qui est confirmé par l'étiquette, mais c'était au mieux une taille 8."
4,"Très belle pantoufle, j'adore la couleur. Légèrement serré autour de la bande. Je porte habituellement du 5,5 et j'ai la taille 6 et ça va bien."
