étoile,commentaire
5,"Je les ai achetés pour m'entraîner le matin, je transpire bien, il ne fait pas vraiment froid ici, mais j'ai besoin de brûler des calories. Je suis un boxeur et j'essaie de perdre du poids. Je finirai par revenir car le tableau des tailles est un peu en dehors, cela semble plus petit (xl) Ils peuvent convenir parfaitement à d'autres mais je préfère un peu de baggy pour retenir plus d'air et être vraiment lâche. Peut-être ont-ils l'intention que vous les étiriez tout de suite. Je donne toujours au produit des étoiles complètes car il s'agit d'un matériau visiblement de haute qualité et solide. Peut-être que vous finirez par être l'un de ces pantalons que vous trouverez dans la lessive des années plus tard et que vous verrez. Vous ne pouvez pas vous tromper avec la couleurmarron foncé très riche. Je ne veux pas acheter le xxl parce que je m'entraîne, il est donc possible que je m'y accroche jusqu'à ce que ma taille diminue. Ceux-ci semblent être authentiques NIKE et lorsque vous obtenez les vrais trucs, la qualité est de premier ordre. Je trouve également que ce créneau d'endroits dira premier quand il n'est pas expédié avant quelques jours soit juste pour que vous soyez plus susceptible d'acheter. Ceux-ci sont arrivés à la vitesse de l'éclair, ce que j'aime toujours mentionner dans chaque critique, car il est important pour les entreprises d'être intègres à mon avis."
4,"Mon fils de 12 ans porte un pantalon pour homme de taille moyenne, celui-ci était un peu plus ample que nous aimons, mais probablement de notre faute car il préfère un style ""jogger"" plus tendance. Je les aime toujours, de grande qualité, mais c'est NIke, vous ne pouvez vraiment pas vous tromper. Recommande et achètera à nouveau"
5,"Je l'aime tellement, il me va parfaitement"
5,La qualité de ces joggeurs est parfaite !!
4,"Ceux-ci ne vont vraiment pas comme les joggeurs, ce sont à 100% de simples pantalons de survêtement sous un nom différent, mais ils sont toujours confortables et de qualité suffisante pour être conservés."
3,"Confortable, mais pas une tonne d'étirement et serré dans les mollets. Pas bon pour moi."
4,"Excellente qualité, ajustement parfait, cadeau parfait. Mon seul reproche, c'est que j'ai payé 50 $ et que le prix de détail du pantalon était de 45 $."
5,J'aurais vraiment aimé qu'ils aient une version haute du bas de jogging...
5,Ce pantalon taille bien et est très confortable. J'aime particulièrement les revers de cheville car ils sont bien ajustés à la cheville et je n'aime pas les revers larges et tombants
5,"Ce produit est arrivé en bon état. Les joggeurs sont très confortables, la couleur est éclatante et ressemble à la photo. Je voulais acheter le sweat à capuche assorti, mais la taille était en rupture de stock."
5,"Mec, ces joggeurs sont FROID ! Excellent ajustement, excellent matériau. Nike réelle, toujours étiquetée. Bon produit"
3,Juste des sueurs... rien de spécial.
5,Excellent ajustement. Véritable produit Nike. Il y avait encore une étiquette et tout. Super pompé à propos de l'achat
5,"Honnêtement, je ne peux pas croire à quel point c'était une bonne affaire. J'étais évidemment hésitant à acheter des joggeurs de marque sur Amazon, mais ils sont légitimes. Je les porte en ce moment. Travail à domicile occasionnel"
5,Coupe douce et agréable pour mon fils de 13 ans dans un grand hes un grand enfant 5'11
5,Il est très bien et s'adapte très bien.
5,Fidèle à la taille! mon fils a adoré car lui et moi sommes de grands fans de nike.
3,"Je mesure 5'7"" 150 livres et le grand était bien trop petit. Commandez une taille ou 2 !"
5,Je suis une fille et ce sont les pantalons de survêtement confortables à taille haute parfaits.
5,Nike est fier de la qualité de sa marque.
5,Un très beau bleu et ils ont fière allure
5,"Vraiment creuser ces joggeurs. Je passe généralement par Nike et j'achète des polaires chères, mais ces joggeurs sont là pour la moitié du prix."
1,JE REGRETTE ÇA
1,"les aimer, juste trop rétrécir (XL) pour un homme de 250lbs 6'4."
5,J'adore les sweats Nike pour mes garçons et c'est tout ce qu'ils portent.
5,Le seul pantalon de survêtement qui vaut la peine d'être acheté
5,Matière confortable le stretch est super
5,Ajustement parfait merci 🙏🏾
5,Grand cadeau
5,Acheté ceux-ci pour mon petit ami! Il les aime! même acheté une autre couleur! Merci!
5,Grand ajustement parfait pour tout le monde 5'11-6'2
5,Cadeau de Noël à mon fils
5,Excellent matériel très résistant
3,Proportions déformées - fond large - jambes courtes - hors de prix ! Heureux de la politique de retour d'Amazon !
5,Parfait super qualité
5,J'aime ça
2,"Le tableau des tailles nécessite de sérieuses modifications et ajustements. La qualité du pantalon est idéale mais trop petite, donc maintenant je dois prendre plus de temps pour revenir et demander une taille plus grande."
3,Ils ont l'air violet pas marron
5,Très confortable
2,Ils ont un trou le premier mois d'utilisation et ils rétrécissent dans la sécheuse.
5,Tellement confortable et moulant. Grand choix de couleurs. J'ai maintenant deux paires.
1,"J'ai payé 60 $ pour le pantalon blanc quand je l'ai eu, il était accompagné d'une étiquette indiquant le prix de détail suggéré de 45 $… 1 étoile"
1,
1,"Je mesure 5'11 et j'ai commandé un grand parce que je pensais qu'ils seraient assez longs. J'aurais dû commander un moyen mais même grand, c'était bien trop court. Donné à l'achalandage, perte de 60 $"
1,L'une des coutures intérieures s'est déchirée quelques mois après l'achat. Ils sont confortables mais je m'attends à une qualité bien supérieure pour le prix de ces pantalons.
1,"Ma faute, j'ai acheté un jogging à 5 $ pour ~ 100 $ NE L'ACHETEZ PAS !"
1,"Tissu très épais. Bon pour le froid, pas pour l'été en Floride."
1,Tissu utilisé de mauvaise qualité
1,Pantalon de survêtement fondamentalement cher. Ils sont terribles. Ne faites rien dedans ou ils s'effondreront. Ne les achetez pas.
1,Couleur bizarre
1,Très petit
1,Ne correspondait pas
1,confortable mais de mauvaise qualité
1,Pas fidèle à la taille
5,J'adore ce produit. Grande qualité et sélection de couleurs. Achètera encore!
5,acheté un 4x pour un look surdimensionné et ça va comme une robe.
5,"Cela me va très bien et je mesure 5'9 250 livres, j'ai un 2x"
5,Expédition rapide très bon ajustement
5,C'est un cadeau que je n'ai pas encore offert. Mais la qualité du tissu nous est bonne et il est bien fait. C'est un peu cher mais c'est ce qu'il voulait !!
5,Parfait! Acheté un peu plus grand pour un bon ajustement :) génial ! Et très doux !
5,Je le porte depuis un moment maintenant et me va parfaitement. Le swoosh nike est assez haut sur le sweat. La qualité de celui-ci est très bonne.
5,acheté ceci pour mon petit ami et il adore ça. super qualité et ça lui va bien
5,Excellent produit et livraison rapide
3,"Très essentiel pour le placard, j'apprécie une coupe un peu plus ample, je suggérerais donc d'acheter une taille au-dessus de ce que vous pensez convenir. Matière assez épaisse mais pas trop lourde."
5,je jette toujours ça chaque fois que je ne sais pas quoi porter et ça me donne du style
3,Le produit est arrivé comme prévu. Les tailles correspondent aux attentes.
2,Pas ce à quoi je m'attendais 🥺 Gaspillage d'argent 💰 Je serai plus sélectif lors de mon prochain achat !!
2,c'est essentiellement un col rond walmart avec un swoosh brodé dessus. ne gaspillez pas votre argent et obtenez la vraie chose
5,Mon mari a aimé qu'il soit coupé.
1,"J'achète ces chemises depuis des années, celles qui sortent depuis un an environ sont fines et bon marché, pas les mêmes,"
1,littéralement une si mauvaise qualité que je ne peux pas croire que j'ai payé pour ça LOL
1,Cet article a été annoncé comme % 100 coton et a fini par être % 80 coton et % 20 polyester. Sentez-vous que nous avons été trompés. N'achètera plus chez ce distributeur.
1,C'était le fruit d'un sweat-shirt à tisser et ils ont mis une étiquette Nike dessus. FRAUDE!! Je les signale et je veux récupérer mon argent !!
5,joli article conforme. vendeur à recommander pour envoi rapide et sérieux
5,Le sweat est conforme à la commande
4,bonne qualité
5,C'est un bon qualité la taille exacte Jean commande pour les autres
3,Je devais l’avoir en bleu il est arrivé en rouge je comprend pas mais heureusement qu’il me déplaît pas et qu’il est à la bonne taille
4,"Livraison en peu de temps. Bon produit, rapport qualité prix correct"
5,"Je ne sais pas comment ça va car je l'ai acheté pour un cadeau de Noël, mais il semble lourd et chaud."
5,"Super taille, super prix Toujours fan de Nike 👍👍👍👍👍"
4,"Je doute que ce soit original, à part ça c'est joli, mais malheureusement pelucheux. Je cherchais un sweat gratté plus léger et la composition m'a trompé. j'aurais du être mieux informé"
5,Haut. Tout comme indiqué.
5,s'adapte bien
5,"J'adore ce sweat à capuche ! Un sweat à capuche Nike classique, rien de spécial. Toujours 10 sur 10 pour le confort et la qualité. Et livraison très rapide !"
5,aimer
4,Ajustement parfait
5,"Très bon prix, il est vraiment confortable et il fait le travail par temps froid."
3,Pour toutes les raisons énumérées ci-dessus
5,J'aime la qualité du produit et il tient chaud
5,Super sweat nike et moins cher que le site nike !
5,Après l'entrainement
4,Coupe un peu grand mais c'est comme annoncé
5,"J'ai eu un extra large pour mon petit ami et c'était parfait. Honnêtement, c'était mieux que je ne le pensais! Il le porte tout le temps :)"
5,La qualité
5,J'ai acheté un sweat à capuche xs et il me va parfaitement! Très belle qualité en plus !
5,Bonne qualité.
5,coupe et couleur parfaites
5,Mon fils de 15 ans mesure 6 pieds et est athlétique! Lui va bien !
5,"Il est d'origine, il est très confortable, d'excellente qualité et il est conforme à ma commande. Lorsque vous l'enlevez, il laisse de petits résidus, mais rien d'extraordinaire."
5,"Je l'ai eu pour mon copain et il adore ça. J'étais nerveux de l'acheter sur Amazon, mais j'en avais besoin rapidement et je ne pouvais pas acheter directement chez Nike, c'est du vrai Nike et c'était de grande qualité. très doux et flatteur. Il mesure environ 5'8 et porte un pantalon de taille 30x30. J'ai commandé un médium, s'adapte parfaitement. J'espère que ça t'as aidé"
5,Mon fils aime ça.
5,"Livraison rapide, qualité supérieure, s'adapte parfaitement, a bien sûr son prix correspondant."
5,Super grand confort de port
5,"Produit au-dessus de la valeur, cher payé 100 $ pour un produit de 50 $."
5,"Convient très bien, la couleur est vraie. Se lave et se porte bien"
5,Le petit-fils de 13 ans a vraiment aimé le hoode comme cadeau d'anniversaire.
5,"c'est le sweat le plus mignon, la couleur est si jolie et c'est tellement confortable ! il est venu en seulement 2 jours et je l'adore !!"
5,Mon petit-fils dit qu'il porte tout le temps son nouveau pull à capuche Nike. C'est tellement chaud et confortable! Il aime ça!
4,Peux tu acheter
5,Les pulls Nike sont très beaux. En avoir pour son argent.
5,Je l'aime bien.
5,Pareil comme la photo bonne grandeur. Très beau5
5,"Simple, confortable et de bonne qualité."
5,Excellent ajustement. Belle qualité
5,Tout est parfait 🥰
3,La taille était correcte mais les coutures sous le bras et sur la capuche se défaisaient dès la sortie de l'emballage
4,"Un sweat sympa et bien fait, rien d'extraordinaire, il taille comme prévu dans la taille habituelle et malheureusement je l'ai vu pour la moitié de ce qu'il m'a coûté en magasin après l'avoir acheté sur amazon."
5,Excellent ajustement
5,Sweat à capuche Nike en coton doux et confortable. Se sent comme un vieux fiable hors de l'emballage. J'adore que Tall soit une option pour le dimensionnement.
3,"Ma seule remarque à ce sujet est que le logo a été blanchi, ne l'a porté qu'une seule fois pour tester l'ajustement, lavé dans mes blancs avec de l'eau de Javel et maintenant le logo est d'un brun métallique, je vous conseille donc de ne pas laver avec de l'eau de javel"
5,"Convient à la taille, j'ai dimensionné et c'est un peu grand mais il rétrécit définitivement si vous le jetez dans la sécheuse au lieu de le suspendre (comme le font la plupart des sweats à capuche) super doux et chaud"
5,Très bonne qualité
5,tout comme voulu
5,C'est une veste de retour à l'école et c'est parfait !
2,"Eh bien, nous avons tout un placard plein de vêtements Nike et ce pull est fait au-delà de la moche et sentait tellement les produits chimiques à son arrivée. Le pull est aussi très fin ! MAUVAIS ACHAT"
5,"C'était un super cadeau pour mon S.O. C'est un vrai sweat à capuche Nike, pas un chat hors marque. Il est venu avec une tache sombre sur le dos, mais cela s'est facilement lavé."
5,"Je l'ai eu quand il était en vente et c'était un excellent rapport qualité-prix, confortable et très élégant. Le seul inconvénient est que le prêt de l'intérieur est un peu ennuyeux, mais il va bien après l'avoir lavé plusieurs fois. 5 étoiles"
5,cela convient parfaitement à mon petit fils
5,"Je l'ai reçu de ma mère pour la fête des mères, elle adore ça"
1,"La matière est fine comme un t-shirt. Il n'y a pas de poches avant comme indiqué sur la photo. C'est un cadeau pour l'anniversaire de mon petit-fils, il est donc trop tard pour le renvoyer. Je n'écris généralement pas de mauvaises critiques, mais je n'ai jamais été aussi déçu. Ce sweat à capuche ne vaut pas le prix et certainement pas ce qui est montré sur la photo. Ne l'achetez pas."
5,J'ai eu ce sweat à capuche pour un cadeau d'anniversaire pour mon fils. Il aime ça. Je pense que ça lui va bien et la taille est comme dit et ça va parfaitement.
4,Super doux et confortable. A résisté jusqu'à présent au cours des 2 derniers mois. Aucune plainte.
3,"Le sweat blanc est arrivé, sans sac ni boîte, il est venu dans une enveloppe plastique, sans rien emballer, l'étiquette nike à l'arrière du cou ne semble pas authentique, je ne suis pas un expert en contrefaçon, mais il y a quelque chose là-dedans sweat-shirt que je n'aime pas, il a l'air faux"
5,Super achat merveilleuse qualité Nous l'aimons !!!!
5,Je l'aime
5,Commande pour ma petite fille. Elle a adoré.
5,Commandé pour notre fils et il adore ça. Grande qualité. Très satisfait.
5,C'était un cadeau pour mon beau-frère. Il n'a pas arrêté de le porter !
5,J'adore ce sweat à capuche. Très confortable et convient à tout ce que vous pourriez faire. J'aime beaucoup le porter et c'est l'un de mes préférés.
5,"quoi dire Agréable, confortable et bien fait."
5,Confortable comme l'enfer
5,Très doux et a fière allure
3,Bonne taille de sweat à capuche
5,Je ne porte que des Nike. Ce sweat est de loin mon préféré cette saison. Coupe parfaite et incroyablement chaud. C'était tellement bon que j'en ai acheté 2 autres de couleurs différentes. Super prix. Deff vaut l'achat.
5,"il me va comme je l'aime, mais la seule chose est qu'il avait un autocollant plus grand qui m'a fait peur de découvrir que c'était le bon support que j'ai commandé"
2,pas bon
1,"J'ai payé le gros prix pour ce sweat à capuche Nike avec l'impression que j'obtiendrais la meilleure valeur. Pas si! la doublure intérieure en polaire a commencé à boulocher et à se désintégrer après le premier lavage (eau froide, cycle délicat, suspendre pour sécher). Après le quatrième lavage, la couleur de l'étiquette ""Nike"" est passée du noir au marron. Après le cinquième lavage, la doublure intérieure en polaire s'est complètement effondrée à plusieurs endroits, laissant des taches ""transparentes"" sur la poitrine. Quels déchets ! J'ai des sweats à capuche Champion et Russell moins chers qui se portent mieux que cela, et à moitié prix. 75,00 $+ pour CECI ? Veuillez reconsidérer avant d'acheter cet article."
5,Très doux et confortable
5,J'ai eu ça pour mon fils adolescent sur différentes couleurs qui est un accro de Nike !! Il les aime absolument!
5,La qualité des produits
5,J'en ai acheté quelques-uns comme cadeaux. Ils sont fidèles à la taille et s'adaptent bien. Doux mais durable. Envisagerait d'acheter à nouveau à l'avenir.
3,J'ai acheté Large (ma taille réelle et ma taille de chemise Nike) et j'ai dû le donner à ma femme qui porte Small in Nike. Nous avons même vérifié l'étiquette pour nous assurer qu'il s'agissait d'un grand homme. Augmentez la taille.
5,Ce cadeau était confortable et chaleureux
5,Bien fait. Grande couleur. Se lave bien.
5,"Arrivé à l'heure, très doux et chaud. Conforme à ma commande. Je recommanderais fortement!"
5,Ces sweats à capuche sont un cadeau parfait pour quiconque vous garde au chaud mais aussi élégant à bien des égards.
5,J'adore ce sweat à capuche et sa taille !!! Achèterait totalement plus de la même marque exacte dans différentes couleurs s'il y avait des options de choix de couleurs.
1,C'est de la merde bon marché. Pas de poche comme le montre l'image
5,"C'est un sweat à capuche super doux, fidèle à la taille et qui n'a pas rétréci. Très aimé par mon fils."
5,Mon petit-fils a adoré !
3,Hoodie n'est pas vraiment grand. J'ai le même sweat à capuche en gris (grand) et j'ai acheté celui-ci (grand et grand) de la même coupe. Désappointé.
5,"J'ai adoré, super chaud et simple, bon design"
5,A gardé la même taille après le lavage
5,C'était de la grande qualité ! J'aurais pensé que je l'avais acheté sur le Nike Store lui-même. Vaut l'achat.
5,"Commandé le dimanche et reçu le mardi. Livraison super rapide, qualité supérieure et la taille commandée correspond exactement. Je ne peux que recommander l'achat. Je suis très satisfait."
5,Bon achat
5,Petit-fils le porte beaucoup et lui va très bien. Satisfait de l'achat.
1,"Arnaque, ce n'était pas le produit annoncé, il avait une étiquette, il coûtait 19,99 $ et me l'a vendu 32 $. Je rembourse ceci. Pas la peine pour le prix."
1,C'était très confortable et agréable juste eu une déchirure au-dessus du logo Nike sur la poitrine.
5,Aimer. Très confortable. Vous garde au chaud.
5,"Mon neveu adore le porter quand il fait de la randonnée, c'est très confortable."
5,Super
5,"Lorsque vous lavez et séchez le sweat à capuche, il a l'air neuf !!"
5,Aimer
5,"Très bon prix, très doux et s'adapte parfaitement"
5,Cadeau de Noël pour mon petit-fils. Convient comme prévu. La longueur était bonne.
5,Joli sweat à capuche
5,"Entré rapidement, s'adapte parfaitement et est doux à l'intérieur. Fidèle à la taille."
1,"Donc je m'attendais à recevoir ce que le pull avait l'air sur la photo qui est un pull, j'ai fini par recevoir un pull zippé."
5,S'adapte parfaitement. Très beau
5,"Super confortable, lourd, a l'air pointu"
5,Sweat à capuche classique super confortable. Portez-le presque tous les jours
5,Très bonne qualité !
5,"Super pull, confortable et super pour l'hiver !!!"
5,Aimer
5,Très bon. Merci
5,Cadeau pour un petit-fils
5,Il est léger et chauffe très bien.
5,Convient un peu petit comme la plupart des Nike mais authentique
5,A l'air bien et s'adapte bien
5,Confortable et durable pour un usage quotidien
5,C'était un cadeau pour ma petite-fille et elle adore ça!
5,C'était assez long
5,Super cadeau de Noël pour mon papa !! Sweat de bonne qualité.
5,Comme prévu
5,"Achat brillant, taille si bonne aussi"
5,Bonne qualité
5,Sweat à capuche parfait
2,"Eh bien ... le sweat-shirt était super et tout sauf que nous avons commandé un grand pour femme et que nous avons reçu un XL pour homme, nous avons donc dû le rétrécir du mieux que nous pouvions."
5,Excellent ! livraison très rapide Volontiers à nouveau.
5,"mon copain a vraiment aimé. s'adapte bien et a l'air sympa, je le recommande !!"
5,Super.
5,Excellent matériel
5,N / A
5,Aimer
5,Super
5,Très confortable
5,"Mon fils me va comme un gant, très fin et doux !"
5,Rien
5,Tout est super👍😊
5,"Génial, super, tout va bien"
5,S'assoit bienTrès confortable
5,Très chaud pour les froides journées d'hiver et protège de la pluie mes vêtements en dessous.
2,Commandé un XL-T et obtenu juste un XL.
5,J'ai commandé la mauvaise taille mais c'est super agréable et doux à l'intérieur.
5,C'était un cadeau et mon copain a adoré
5,"S'adapte parfaitement, agréable et doux. Arrivé en avance 👍"
1,Arrivé avec une étiquette de sécurité dessus.
5,Cela est arrivé très rapidement. Le produit est fabriqué avec un matériau de grande qualité. Mon fils adore ça.
5,"Super sweat à capuche, durable et confortable, la taille est précise !"
5,Confortable
1,De la fourrure partout quand j'ai sorti mon sweat à capuche celui en dessous était recouvert de fourrure pas content de ça
1,FAUX!!! Totalement FAUX !! Ne l'achetez pas
1,Bien trop petit
1,Les tailles sont plus petites
1,J'ai commandé le blanc et j'ai eu le noir sucré!
1,Faux sweat à capuche.
1,je pense que c'est un fake
5,la taille convient. Pantalon de jogging très agréable et confortable.
5,S'adapte parfaitement. Chaud et doux. La qualité est excellente. Agréable et épais. Vaut le prix.
3,"Pantalon vraiment cool! Je les ai commandés en XL, avec une hauteur de 1930. Les pantalons se sentent bien, mais la longueur des jambes est très serrée. Je l'ai quand même gardé car il est vraiment confortable. C'est la seule raison pour laquelle il n'obtient pas tous les points."
5,Avec le pantalon plus rapide qu'Usain BoltKam plus rapide que prévu quali différent stable
5,Acheté pour mon copain. Les aime.
5,"Il s'adapte parfaitement, frais."
4,"J'ai essayé la chemise et les manches étaient un peu courtes à mon goût et se situent à la taille, donc ce n'était pas mon style. 220 livres 6 pieds de haut. Ne m'a pas donné le look athlétique que je recherchais"
5,J'ai ça pour mon mari. Il aime ça
5,Super chemise bonne matière
5,J'adore la couleur et la coupe.
5,Je l'ai aimé. Je le recommande 💯👌🏻
5,Excellent ajustement
4,ATTENTION C'EST TRÈS TRÈS MINCE...RIEN COMME SUR LA PHOTO.........
4,"Il est court, la couleur est très vive, il a l'air de qualité mais ce n'est pas pour les personnes de grande taille"
3,"J'ai beaucoup de t-shirts Nike à manches longues et courtes au fil des ans qui ont l'air bien et qui vont bien. Cette chemise particulière ressemblait à un tissu moins cher avec une sensation plus de polyester. J'ai commandé une chemise noire et elle est si fine qu'elle est presque transparente. Le dimensionnement était également différent des produits précédents. J'ai toujours commandé du médium, mais le médium de cette chemise est trop ajusté. Tout cela m'a fait douter de l'authenticité du produit, mais j'ai commandé 4 chemises et toutes étaient identiques. Je suppose que Nike est juste bon marché maintenant. Je pense que je vais me tourner vers d'autres marques."
5,Très familier avec ce produit de qualité!
5,Ce t-shirt Nike est de meilleure qualité que les t-shirts Under Armour que j'avais l'habitude d'acheter. C'est un matériau plus épais avec un meilleur ajustement du cou.
5,C'est gentil
5,"Acheté pour mon père, il adore"
4,Excellent produit je le recommande.
3,J'ai acheté une de ces chemises il y a quelques mois et j'ai adoré. J'en ai donc acheté un autre et il est plein de rides. Lavé deux fois et impossible de s'en débarrasser. Je me demande juste si c'est vraiment un produit Nike.
